# Visited Positions Export - Simulation Time: 100 seconds
# Total Positions: 22
# Total Adaptive Regions: 5
# Leaf Clusters (Actual Discovered Clusters): 4
# Format: X,Y (coordinates in meters)
# Adaptive Regions (Discovered Clusters - Leaf Nodes Only):
# Region 0: [-4.915,0] x [-4.915,0] Visits=9 ResourceHits=5
# Region 1: [0,4.915] x [-4.915,0] Visits=10 ResourceHits=4
# Region 2: [-4.915,0] x [0,4.915] Visits=8 ResourceHits=2
# Region 3: [0,4.915] x [0,4.915] Visits=3 ResourceHits=0
# Total Leaf Clusters: 4
# === VISITED POSITIONS DATA ===
X,Y
0.664987,-0.750962
0.945496,0.421705
-1.3661,-0.740549
-1.3562,1.2362
0.990167,-0.475472
-1.15517,1.02739
-1.25764,0.0605615
1.312,0.751138
0.847278,-0.995806
-1.00511,-0.942981
-0.593804,-1.76967
1.09586,0.29438
1.10752,-1.01359
1.06492,-1.28408
-0.0383601,-2.01443
-0.217115,0.125152
-0.053941,1.4376
-0.588039,4.49208
0.198188,0.374556
0.556753,-0.371901
1.02437,-0.991578
-0.0498515,-0.221638
