# Visited Positions Export - Simulation Time: 160 seconds
# Total Positions: 45
# Total Adaptive Regions: 13
# Leaf Clusters (Actual Discovered Clusters): 10
# Format: X,Y (coordinates in meters)
# Adaptive Regions (Discovered Clusters - Leaf Nodes Only):
# Region 0: [-4.915,0] x [0,4.915] Visits=14 ResourceHits=2
# Region 1: [0,4.915] x [0,4.915] Visits=8 ResourceHits=0
# Region 2: [-4.915,-2.4575] x [-4.915,-2.4575] Visits=0 ResourceHits=0
# Region 3: [-2.4575,0] x [-4.915,-2.4575] Visits=0 ResourceHits=0
# Region 4: [-4.915,-2.4575] x [-2.4575,0] Visits=0 ResourceHits=0
# Region 5: [-2.4575,0] x [-2.4575,0] Visits=4 ResourceHits=3
# Region 6: [0,2.4575] x [-4.915,-2.4575] Visits=0 ResourceHits=0
# Region 7: [2.4575,4.915] x [-4.915,-2.4575] Visits=3 ResourceHits=1
# Region 8: [0,2.4575] x [-2.4575,0] Visits=2 ResourceHits=0
# Region 9: [2.4575,4.915] x [-2.4575,0] Visits=0 ResourceHits=0
# Total Leaf Clusters: 10
# === VISITED POSITIONS DATA ===
X,Y
0.664987,-0.750962
0.945496,0.421705
-1.3661,-0.740549
-1.3562,1.2362
0.990167,-0.475472
-1.15517,1.02739
-1.25764,0.0605615
1.312,0.751138
0.847278,-0.995806
-1.00511,-0.942981
-0.593804,-1.76967
1.09586,0.29438
1.10752,-1.01359
1.06492,-1.28408
-0.0383601,-2.01443
-0.217115,0.125152
-0.053941,1.4376
-0.588039,4.49208
0.198188,0.374556
0.556753,-0.371901
1.02437,-0.991578
-0.0498515,-0.221638
0.308986,0.0790859
-0.904508,2.56446
-0.890282,-1.69356
0.215086,-4.69688
0.162915,-2.66496
0.807043,-2.0676
-2.15681,0.0683287
-0.897252,-0.938999
-0.605759,1.01247
0.417273,0.00436267
-0.962529,3.01592
-0.242239,4.44318
-0.953737,-0.915277
0.204008,0.213834
3.05529,1.45303
4.54677,0.626327
3.67218,-2.57069
0.881216,-1.35814
2.45693,-1.57265
4.79342,-3.52016
3.23905,-4.54329
-0.0832503,0.286795
-0.955362,-0.90837
