# Visited Positions Export - Simulation Time: 300 seconds
# Total Positions: 91
# Total Adaptive Regions: 25
# Leaf Clusters (Actual Discovered Clusters): 19
# Format: X,Y (coordinates in meters)
# Adaptive Regions (Discovered Clusters - Leaf Nodes Only):
# Region 0: [-4.915,-2.4575] x [-4.915,-2.4575] Visits=2 ResourceHits=0
# Region 1: [-2.4575,0] x [-4.915,-2.4575] Visits=2 ResourceHits=0
# Region 2: [-4.915,-2.4575] x [-2.4575,0] Visits=3 ResourceHits=0
# Region 3: [0,2.4575] x [-4.915,-2.4575] Visits=3 ResourceHits=3
# Region 4: [2.4575,4.915] x [-4.915,-2.4575] Visits=6 ResourceHits=1
# Region 5: [0,2.4575] x [-2.4575,0] Visits=3 ResourceHits=1
# Region 6: [2.4575,4.915] x [-2.4575,0] Visits=3 ResourceHits=0
# Region 7: [-4.915,-2.4575] x [0,2.4575] Visits=1 ResourceHits=0
# Region 8: [-2.4575,0] x [0,2.4575] Visits=7 ResourceHits=0
# Region 9: [-4.915,-2.4575] x [2.4575,4.915] Visits=2 ResourceHits=0
# Region 10: [-2.4575,0] x [2.4575,4.915] Visits=5 ResourceHits=0
# Region 11: [0,2.4575] x [0,2.4575] Visits=2 ResourceHits=0
# Region 12: [2.4575,4.915] x [0,2.4575] Visits=2 ResourceHits=0
# Region 13: [0,2.4575] x [2.4575,4.915] Visits=1 ResourceHits=0
# Region 14: [2.4575,4.915] x [2.4575,4.915] Visits=1 ResourceHits=0
# Region 15: [-2.4575,-1.22875] x [-2.4575,-1.22875] Visits=0 ResourceHits=0
# Region 16: [-1.22875,0] x [-2.4575,-1.22875] Visits=0 ResourceHits=0
# Region 17: [-2.4575,-1.22875] x [-1.22875,0] Visits=0 ResourceHits=0
# Region 18: [-1.22875,0] x [-1.22875,0] Visits=1 ResourceHits=0
# Total Leaf Clusters: 19
# === VISITED POSITIONS DATA ===
X,Y
0.664987,-0.750962
0.945496,0.421705
-1.3661,-0.740549
-1.3562,1.2362
0.990167,-0.475472
-1.15517,1.02739
-1.25764,0.0605615
1.312,0.751138
0.847278,-0.995806
-1.00511,-0.942981
-0.593804,-1.76967
1.09586,0.29438
1.10752,-1.01359
1.06492,-1.28408
-0.0383601,-2.01443
-0.217115,0.125152
-0.053941,1.4376
-0.588039,4.49208
0.198188,0.374556
0.556753,-0.371901
1.02437,-0.991578
-0.0498515,-0.221638
0.308986,0.0790859
-0.904508,2.56446
-0.890282,-1.69356
0.215086,-4.69688
0.162915,-2.66496
0.807043,-2.0676
-2.15681,0.0683287
-0.897252,-0.938999
-0.605759,1.01247
0.417273,0.00436267
-0.962529,3.01592
-0.242239,4.44318
-0.953737,-0.915277
0.204008,0.213834
3.05529,1.45303
4.54677,0.626327
3.67218,-2.57069
0.881216,-1.35814
2.45693,-1.57265
4.79342,-3.52016
3.23905,-4.54329
-0.0832503,0.286795
-0.955362,-0.90837
-0.976218,-0.92997
-0.951349,-0.995182
-0.974827,-0.976831
0.574624,1.463
-1.52866,3.66694
-0.470865,4.89
2.76494,4.63043
4.82251,3.5174
3.65961,0.446606
2.51694,-2.54566
-0.0987586,0.245422
-0.368836,0.0556868
-0.903639,1.36355
-2.45862,4.22649
-0.844703,3.62823
0.825711,0.832207
2.74269,-1.49481
4.23289,-4.14509
-1.38242,0.412113
-3.56018,-1.81168
-4.60781,-3.39645
-3.09048,-0.441686
-0.376127,0.326372
-2.46162,2.11465
-4.56045,4.50983
-2.45348,3.81152
0.767593,3.11488
-0.23329,-1.20535
-0.139257,-3.74538
-2.39294,-4.58628
-4.75256,-3.6268
-3.21574,-0.989501
-0.622259,0.875312
2.41304,1.77612
4.64576,1.98092
3.17791,-0.811593
0.274804,0.139834
-0.113644,3.36358
1.15741,4.38538
4.17958,3.8027
4.36486,1.60806
4.38902,-1.52726
4.48451,-4.7106
-0.947932,-0.910159
-0.0319531,0.0787839
-0.923939,-0.994848
