tags_collected, collisions_in_seconds, time_in_minutes, random_seed
82, 358.641, 12, 1
90, 389.453, 12, 2
76, 399.672, 12, 3
89, 591.578, 12, 4
104, 734.297, 12, 5
74, 376.672, 12, 6
86, 392.219, 12, 7
43, 2689.41, 12, 8
89, 382.922, 12, 9
86, 391.75, 12, 10
77, 314.016, 12, 11
77, 610.359, 12, 12
84, 1246.66, 12, 13
86, 346.109, 12, 14
70, 339.609, 12, 15
56, 2222.12, 12, 16
40, 2345.67, 12, 17
74, 335.094, 12, 18
79, 416.031, 12, 19
90, 381.578, 12, 20
93, 445.953, 12, 21
75, 347.906, 12, 22
73, 791.859, 12, 23
111, 571.172, 12, 24
86, 331.375, 12, 25
45, 2730.03, 12, 26
102, 480.828, 12, 27
55, 2551.77, 12, 28
55, 1667.95, 12, 29
93, 369.25, 12, 30
69, 655.688, 12, 31
77, 351.062, 12, 32
75, 414.812, 12, 33
71, 320.625, 12, 34
50, 1878.62, 12, 35
72, 380.125, 12, 36
78, 346.672, 12, 37
71, 372.406, 12, 38
72, 381.75, 12, 39
83, 385.109, 12, 40
62, 340.484, 12, 41
66, 322.203, 12, 42
64, 882.641, 12, 43
68, 317.781, 12, 44
58, 346.969, 12, 45
65, 1258.36, 12, 46
51, 1739.14, 12, 47
74, 808.297, 12, 48
80, 476.656, 12, 49
74, 344.516, 12, 50
