tags_collected, collisions_in_seconds, time_in_minutes, random_seed
78, 344.891, 12, 1
77, 401.109, 12, 2
79, 411.125, 12, 3
84, 378.609, 12, 4
83, 1061.17, 12, 5
64, 471.703, 12, 6
92, 456.516, 12, 7
38, 2640.5, 12, 8
73, 309.141, 12, 9
64, 364.438, 12, 10
76, 333.938, 12, 11
69, 397.797, 12, 12
87, 430.516, 12, 13
79, 361.219, 12, 14
71, 341.75, 12, 15
109, 641.516, 12, 16
25, 2674.14, 12, 17
74, 338.828, 12, 18
75, 415.75, 12, 19
82, 360.5, 12, 20
92, 389.609, 12, 21
76, 307.75, 12, 22
78, 364.297, 12, 23
83, 1235.94, 12, 24
69, 403.078, 12, 25
34, 2760.5, 12, 26
90, 463.766, 12, 27
52, 2285.5, 12, 28
73, 343.156, 12, 29
74, 384.453, 12, 30
50, 1391.41, 12, 31
74, 337, 12, 32
72, 415.031, 12, 33
69, 341.188, 12, 34
48, 1752.16, 12, 35
71, 356.516, 12, 36
72, 359.672, 12, 37
66, 344.406, 12, 38
46, 1626.33, 12, 39
81, 521.797, 12, 40
67, 321.188, 12, 41
74, 329.297, 12, 42
60, 1386.8, 12, 43
57, 454.266, 12, 44
55, 279.156, 12, 45
80, 406.484, 12, 46
52, 1713.27, 12, 47
70, 349.344, 12, 48
74, 506.891, 12, 49
66, 322.609, 12, 50
