score,time_seconds,seed
82.000000, 720.000000, 1
90.000000, 720.000000, 2
76.000000, 720.000000, 3
89.000000, 720.000000, 4
104.000000, 720.000000, 5
74.000000, 720.000000, 6
86.000000, 720.000000, 7
43.000000, 720.000000, 8
89.000000, 720.000000, 9
86.000000, 720.000000, 10
77.000000, 720.000000, 11
77.000000, 720.000000, 12
84.000000, 720.000000, 13
86.000000, 720.000000, 14
70.000000, 720.000000, 15
56.000000, 720.000000, 16
40.000000, 720.000000, 17
74.000000, 720.000000, 18
79.000000, 720.000000, 19
90.000000, 720.000000, 20
93.000000, 720.000000, 21
75.000000, 720.000000, 22
73.000000, 720.000000, 23
111.000000, 720.000000, 24
86.000000, 720.000000, 25
45.000000, 720.000000, 26
102.000000, 720.000000, 27
55.000000, 720.000000, 28
55.000000, 720.000000, 29
93.000000, 720.000000, 30
69.000000, 720.000000, 31
77.000000, 720.000000, 32
75.000000, 720.000000, 33
71.000000, 720.000000, 34
50.000000, 720.000000, 35
72.000000, 720.000000, 36
78.000000, 720.000000, 37
71.000000, 720.000000, 38
72.000000, 720.000000, 39
83.000000, 720.000000, 40
62.000000, 720.000000, 41
66.000000, 720.000000, 42
64.000000, 720.000000, 43
68.000000, 720.000000, 44
58.000000, 720.000000, 45
65.000000, 720.000000, 46
51.000000, 720.000000, 47
74.000000, 720.000000, 48
80.000000, 720.000000, 49
74.000000, 720.000000, 50
