score,time_seconds,seed
76.000000, 720.000000, 1
91.000000, 720.000000, 2
88.000000, 720.000000, 3
86.000000, 720.000000, 4
93.000000, 720.000000, 5
46.000000, 720.000000, 6
67.000000, 720.000000, 7
40.000000, 720.000000, 8
87.000000, 720.000000, 9
72.000000, 720.000000, 10
85.000000, 720.000000, 11
80.000000, 720.000000, 12
70.000000, 720.000000, 13
71.000000, 720.000000, 14
48.000000, 720.000000, 15
83.000000, 720.000000, 16
68.000000, 720.000000, 17
72.000000, 720.000000, 18
78.000000, 720.000000, 19
93.000000, 720.000000, 20
96.000000, 720.000000, 21
55.000000, 720.000000, 22
75.000000, 720.000000, 23
80.000000, 720.000000, 24
61.000000, 720.000000, 25
83.000000, 720.000000, 26
92.000000, 720.000000, 27
41.000000, 720.000000, 28
72.000000, 720.000000, 29
81.000000, 720.000000, 30
73.000000, 720.000000, 31
71.000000, 720.000000, 32
84.000000, 720.000000, 33
66.000000, 720.000000, 34
48.000000, 720.000000, 35
73.000000, 720.000000, 36
81.000000, 720.000000, 37
75.000000, 720.000000, 38
71.000000, 720.000000, 39
84.000000, 720.000000, 40
70.000000, 720.000000, 41
50.000000, 720.000000, 42
74.000000, 720.000000, 43
49.000000, 720.000000, 44
56.000000, 720.000000, 45
72.000000, 720.000000, 46
84.000000, 720.000000, 47
80.000000, 720.000000, 48
88.000000, 720.000000, 49
73.000000, 720.000000, 50
