score,time_seconds,seed
150.000000, 720.000000, 1
144.000000, 720.000000, 2
145.000000, 720.000000, 3
107.000000, 720.000000, 4
146.000000, 720.000000, 5
142.000000, 720.000000, 6
155.000000, 720.000000, 7
150.000000, 720.000000, 8
128.000000, 720.000000, 9
142.000000, 720.000000, 10
138.000000, 720.000000, 11
150.000000, 720.000000, 12
94.000000, 720.000000, 13
139.000000, 720.000000, 14
143.000000, 720.000000, 15
160.000000, 720.000000, 16
144.000000, 720.000000, 17
136.000000, 720.000000, 18
74.000000, 720.000000, 19
149.000000, 720.000000, 20
133.000000, 720.000000, 21
153.000000, 720.000000, 22
132.000000, 720.000000, 23
149.000000, 720.000000, 24
154.000000, 720.000000, 25
159.000000, 720.000000, 26
155.000000, 720.000000, 27
71.000000, 720.000000, 28
139.000000, 720.000000, 29
131.000000, 720.000000, 30
142.000000, 720.000000, 31
138.000000, 720.000000, 32
154.000000, 720.000000, 33
137.000000, 720.000000, 34
137.000000, 720.000000, 35
128.000000, 720.000000, 36
153.000000, 720.000000, 37
132.000000, 720.000000, 38
144.000000, 720.000000, 39
138.000000, 720.000000, 40
139.000000, 720.000000, 41
149.000000, 720.000000, 42
148.000000, 720.000000, 43
142.000000, 720.000000, 44
130.000000, 720.000000, 45
162.000000, 720.000000, 46
159.000000, 720.000000, 47
137.000000, 720.000000, 48
143.000000, 720.000000, 49
135.000000, 720.000000, 50
