score,time_seconds,seed
178.000000, 720.000000, 1
182.000000, 720.000000, 2
177.000000, 720.000000, 3
183.000000, 720.000000, 4
183.000000, 720.000000, 5
179.000000, 720.000000, 6
177.000000, 720.000000, 7
183.000000, 720.000000, 8
186.000000, 720.000000, 9
188.000000, 720.000000, 10
185.000000, 720.000000, 11
181.000000, 720.000000, 12
182.000000, 720.000000, 13
175.000000, 720.000000, 14
185.000000, 720.000000, 15
185.000000, 720.000000, 16
178.000000, 720.000000, 17
185.000000, 720.000000, 18
176.000000, 720.000000, 19
174.000000, 720.000000, 20
185.000000, 720.000000, 21
185.000000, 720.000000, 22
184.000000, 720.000000, 23
184.000000, 720.000000, 24
186.000000, 720.000000, 25
177.000000, 720.000000, 26
182.000000, 720.000000, 27
174.000000, 720.000000, 28
173.000000, 720.000000, 29
181.000000, 720.000000, 30
181.000000, 720.000000, 31
188.000000, 720.000000, 32
185.000000, 720.000000, 33
175.000000, 720.000000, 34
182.000000, 720.000000, 35
180.000000, 720.000000, 36
184.000000, 720.000000, 37
178.000000, 720.000000, 38
191.000000, 720.000000, 39
180.000000, 720.000000, 40
185.000000, 720.000000, 41
178.000000, 720.000000, 42
180.000000, 720.000000, 43
184.000000, 720.000000, 44
184.000000, 720.000000, 45
186.000000, 720.000000, 46
177.000000, 720.000000, 47
185.000000, 720.000000, 48
174.000000, 720.000000, 49
176.000000, 720.000000, 50
