algorithm,distribution,seed,region_id,min_x,max_x,min_y,max_y,visits,resource_hits,resource_weight,score,is_leaf
CPFA,Random,1,0,-4.915,4.915,-4.915,4.915,0,0,0,3.67522,1
CPFA,Random,2,0,-4.915,4.915,-4.915,4.915,0,0,0,3.69958,1
CPFA,Random,3,0,-4.915,4.915,-4.915,4.915,0,0,0,3.82185,1
CPFA,Random,4,0,-4.915,4.915,-4.915,4.915,0,0,0,3.63317,1
CPFA,Random,5,0,-4.915,4.915,-4.915,4.915,0,0,0,3.96023,1
CPFA,Random,6,0,-4.915,4.915,-4.915,4.915,0,0,0,3.08795,1
CPFA,Random,7,0,-4.915,4.915,-4.915,4.915,0,0,0,4.35256,1
CPFA,Random,8,0,-4.915,4.915,-4.915,4.915,0,0,0,3.54309,1
CPFA,Random,9,0,-4.915,4.915,-4.915,4.915,0,0,0,4.61461,1
CPFA,Random,10,0,-4.915,4.915,-4.915,4.915,0,0,0,6.07371,1
CPFA,Random,11,0,-4.915,4.915,-4.915,4.915,0,0,0,4.72569,1
CPFA,Random,12,0,-4.915,4.915,-4.915,4.915,0,0,0,3.87993,1
CPFA,Random,13,0,-4.915,4.915,-4.915,4.915,0,0,0,4.16753,1
CPFA,Random,14,0,-4.915,4.915,-4.915,4.915,0,0,0,4.34362,1
CPFA,Random,15,0,-4.915,4.915,-4.915,4.915,0,0,0,4.41874,1
CPFA,Random,16,0,-4.915,4.915,-4.915,4.915,0,0,0,4.78262,1
CPFA,Random,17,0,-4.915,4.915,-4.915,4.915,0,0,0,3.64263,1
CPFA,Random,18,0,-4.915,4.915,-4.915,4.915,0,0,0,3.25422,1
CPFA,Random,19,0,-4.915,4.915,-4.915,4.915,0,0,0,3.08444,1
CPFA,Random,20,0,-4.915,4.915,-4.915,4.915,0,0,0,3.6087,1
CPFA,Random,21,0,-4.915,4.915,-4.915,4.915,0,0,0,3.60015,1
CPFA,Random,22,0,-4.915,4.915,-4.915,4.915,0,0,0,4.35103,1
CPFA,Random,23,0,-4.915,4.915,-4.915,4.915,0,0,0,4.41303,1
CPFA,Random,24,0,-4.915,4.915,-4.915,4.915,0,0,0,3.49451,1
CPFA,Random,25,0,-4.915,4.915,-4.915,4.915,0,0,0,5.19336,1
CPFA,Random,26,0,-4.915,4.915,-4.915,4.915,0,0,0,3.26604,1
CPFA,Random,27,0,-4.915,4.915,-4.915,4.915,0,0,0,3.62645,1
CPFA,Random,28,0,-4.915,4.915,-4.915,4.915,0,0,0,4.94767,1
CPFA,Random,29,0,-4.915,4.915,-4.915,4.915,0,0,0,4.6829,1
CPFA,Random,30,0,-4.915,4.915,-4.915,4.915,0,0,0,4.5732,1
CPFA,Random,31,0,-4.915,4.915,-4.915,4.915,0,0,0,3.96208,1
CPFA,Random,32,0,-4.915,4.915,-4.915,4.915,0,0,0,4.2605,1
