algorithm,distribution,seed,total_food,final_score,end_time_seconds,time_80,time_90,time_100,phase_80_90,phase_90_100
CPFA,Random,1,256,255,1502.5,794.156,1044.47,-1,250.312,-1
CPFA,Random,2,256,254,1523.5,877.406,1095.09,-1,217.688,-1
CPFA,Random,3,256,255,1818.5,868.094,1040.66,-1,172.562,-1
CPFA,Random,4,256,255,1870,823,1032.16,-1,209.156,-1
CPFA,Random,5,256,255,1754.5,879.688,1061.97,-1,182.281,-1
CPFA,Random,6,256,255,1692.5,905.969,1135.44,-1,229.469,-1
CPFA,Random,7,256,254,1631.5,876.344,1102.59,-1,226.25,-1
CPFA,Random,8,256,255,1893,848.094,1039.12,-1,191.031,-1
CPFA,Random,9,256,255,1625,862.156,1030.28,-1,168.125,-1
CPFA,Random,10,256,255,1568,843.469,1037.25,-1,193.781,-1
CPFA,Random,11,256,255,1645,892.531,1133.12,-1,240.594,-1
CPFA,Random,12,256,254,1602,785.5,975.844,-1,190.344,-1
CPFA,Random,13,256,255,1820.5,819.75,1062.28,-1,242.531,-1
CPFA,Random,14,256,255,1592.5,869.625,1076.78,-1,207.156,-1
CPFA,Random,15,256,255,1474,847.062,1033.12,-1,186.062,-1
CPFA,Random,16,256,255,1605.5,849,1050.31,-1,201.312,-1
CPFA,Random,17,256,254,1453.5,808.875,1001.03,-1,192.156,-1
CPFA,Random,18,256,254,1681.5,834.781,1058.72,-1,223.938,-1
