algorithm,distribution,score,time_seconds,seed
CPFA,Random,255.000000, 1502.500000, 1
CPFA,Random,254.000000, 1523.500000, 2
CPFA,Random,255.000000, 1818.500000, 3
CPFA,Random,255.000000, 1870.000000, 4
CPFA,Random,255.000000, 1754.500000, 5
CPFA,Random,255.000000, 1692.500000, 6
CPFA,Random,254.000000, 1631.500000, 7
CPFA,Random,255.000000, 1893.000000, 8
CPFA,Random,255.000000, 1625.000000, 9
CPFA,Random,255.000000, 1568.000000, 10
CPFA,Random,255.000000, 1645.000000, 11
CPFA,Random,254.000000, 1602.000000, 12
CPFA,Random,255.000000, 1820.500000, 13
CPFA,Random,255.000000, 1592.500000, 14
CPFA,Random,255.000000, 1474.000000, 15
CPFA,Random,255.000000, 1605.500000, 16
CPFA,Random,254.000000, 1453.500000, 17
CPFA,Random,254.000000, 1681.500000, 18
CPFA,Random,255.000000, 1934.500000, 19
CPFA,Random,255.000000, 1518.000000, 20
CPFA,Random,255.000000, 1730.000000, 21
CPFA,Random,255.000000, 1494.000000, 22
CPFA,Random,254.000000, 1647.000000, 23
CPFA,Random,255.000000, 1466.000000, 24
CPFA,Random,255.000000, 2265.500000, 25
CPFA,Random,253.000000, 1330.500000, 26
CPFA,Random,255.000000, 2295.000000, 27
CPFA,Random,255.000000, 1770.000000, 28
CPFA,Random,255.000000, 1820.000000, 29
CPFA,Random,255.000000, 1748.000000, 30
CPFA,Random,255.000000, 1705.000000, 31
CPFA,Random,255.000000, 2228.000000, 32
CPFA,Random,255.000000, 1801.000000, 33
CPFA,Random,250.000000, 3600.000000, 34
CPFA,Random,255.000000, 1753.000000, 37
CPFA,Random,255.000000, 1553.000000, 38
