distribution,algorithm,seed,minute,cumulative_score,minute_score
Random,CPFA,1,1,5,5
Random,CPFA,1,2,11,6
Random,CPFA,1,3,17,6
Random,CPFA,1,4,21,4
Random,CPFA,1,5,25,4
Random,CPFA,1,6,31,6
Random,CPFA,1,7,37,6
Random,CPFA,1,8,44,7
Random,CPFA,1,9,49,5
Random,CPFA,1,10,59,10
Random,CPFA,1,11,69,10
Random,CPFA,1,12,77,8
Random,CPFA,2,1,8,8
Random,CPFA,2,2,13,5
Random,CPFA,2,3,22,9
Random,CPFA,2,4,28,6
Random,CPFA,2,5,30,2
Random,CPFA,2,6,37,7
Random,CPFA,2,7,46,9
Random,CPFA,2,8,54,8
Random,CPFA,2,9,60,6
Random,CPFA,2,10,69,9
Random,CPFA,2,11,76,7
Random,CPFA,2,12,81,5
Random,CPFA,3,1,8,8
Random,CPFA,3,2,18,10
Random,CPFA,3,3,23,5
Random,CPFA,3,4,31,8
Random,CPFA,3,5,38,7
Random,CPFA,3,6,41,3
Random,CPFA,3,7,45,4
Random,CPFA,3,8,51,6
Random,CPFA,3,9,55,4
Random,CPFA,3,10,60,5
Random,CPFA,3,11,63,3
Random,CPFA,3,12,68,5
Random,CPFA,4,1,9,9
Random,CPFA,4,2,17,8
Random,CPFA,4,3,24,7
Random,CPFA,4,4,29,5
Random,CPFA,4,5,34,5
Random,CPFA,4,6,35,1
Random,CPFA,4,7,40,5
Random,CPFA,4,8,45,5
Random,CPFA,4,9,57,12
Random,CPFA,4,10,67,10
Random,CPFA,4,11,71,4
Random,CPFA,4,12,75,4
Random,CPFA,5,1,9,9
Random,CPFA,5,2,13,4
Random,CPFA,5,3,18,5
Random,CPFA,5,4,20,2
Random,CPFA,5,5,25,5
Random,CPFA,5,6,27,2
Random,CPFA,5,7,32,5
Random,CPFA,5,8,38,6
Random,CPFA,5,9,40,2
Random,CPFA,5,10,43,3
Random,CPFA,5,11,45,2
Random,CPFA,5,12,49,4
Random,CPFA,6,1,9,9
Random,CPFA,6,2,16,7
Random,CPFA,6,3,19,3
Random,CPFA,6,4,25,6
Random,CPFA,6,5,29,4
Random,CPFA,6,6,35,6
Random,CPFA,6,7,38,3
Random,CPFA,6,8,44,6
Random,CPFA,6,9,55,11
Random,CPFA,6,10,60,5
Random,CPFA,6,11,64,4
Random,CPFA,6,12,68,4
Random,CPFA,7,1,10,10
Random,CPFA,7,2,17,7
Random,CPFA,7,3,20,3
Random,CPFA,7,4,26,6
Random,CPFA,7,5,27,1
Random,CPFA,7,6,30,3
Random,CPFA,7,7,36,6
Random,CPFA,7,8,40,4
Random,CPFA,7,9,42,2
Random,CPFA,7,10,45,3
Random,CPFA,7,11,52,7
Random,CPFA,7,12,58,6
Random,CPFA,8,1,9,9
Random,CPFA,8,2,16,7
Random,CPFA,8,3,23,7
Random,CPFA,8,4,26,3
Random,CPFA,8,5,31,5
Random,CPFA,8,6,36,5
Random,CPFA,8,7,46,10
Random,CPFA,8,8,55,9
Random,CPFA,8,9,61,6
Random,CPFA,8,10,66,5
Random,CPFA,8,11,80,14
Random,CPFA,8,12,89,9
Random,CPFA,9,1,10,10
Random,CPFA,9,2,14,4
Random,CPFA,9,3,22,8
Random,CPFA,9,4,25,3
Random,CPFA,9,5,28,3
Random,CPFA,9,6,32,4
Random,CPFA,9,7,35,3
Random,CPFA,9,8,43,8
Random,CPFA,9,9,48,5
Random,CPFA,9,10,55,7
Random,CPFA,9,11,60,5
Random,CPFA,9,12,68,8
Random,CPFA,10,1,9,9
Random,CPFA,10,2,14,5
Random,CPFA,10,3,18,4
Random,CPFA,10,4,21,3
Random,CPFA,10,5,24,3
Random,CPFA,10,6,28,4
Random,CPFA,10,7,32,4
Random,CPFA,10,8,35,3
Random,CPFA,10,9,39,4
Random,CPFA,10,10,46,7
Random,CPFA,10,11,51,5
Random,CPFA,10,12,56,5
Random,CPFA,11,1,8,8
Random,CPFA,11,2,14,6
Random,CPFA,11,3,25,11
Random,CPFA,11,4,31,6
Random,CPFA,11,5,34,3
Random,CPFA,11,6,38,4
Random,CPFA,11,7,40,2
Random,CPFA,11,8,43,3
Random,CPFA,11,9,46,3
Random,CPFA,11,10,47,1
Random,CPFA,11,11,51,4
Random,CPFA,11,12,54,3
Random,CPFA,12,1,5,5
Random,CPFA,12,2,11,6
Random,CPFA,12,3,16,5
Random,CPFA,12,4,20,4
Random,CPFA,12,5,26,6
Random,CPFA,12,6,32,6
Random,CPFA,12,7,37,5
Random,CPFA,12,8,42,5
Random,CPFA,12,9,47,5
Random,CPFA,12,10,51,4
Random,CPFA,12,11,58,7
Random,CPFA,12,12,65,7
Random,CPFA,13,1,9,9
Random,CPFA,13,2,16,7
Random,CPFA,13,3,21,5
Random,CPFA,13,4,26,5
Random,CPFA,13,5,31,5
Random,CPFA,13,6,39,8
Random,CPFA,13,7,44,5
Random,CPFA,13,8,49,5
Random,CPFA,13,9,57,8
Random,CPFA,13,10,60,3
Random,CPFA,13,11,67,7
Random,CPFA,13,12,76,9
Random,CPFA,14,1,9,9
Random,CPFA,14,2,15,6
Random,CPFA,14,3,23,8
Random,CPFA,14,4,30,7
Random,CPFA,14,5,37,7
Random,CPFA,14,6,42,5
Random,CPFA,14,7,45,3
Random,CPFA,14,8,49,4
Random,CPFA,14,9,53,4
Random,CPFA,14,10,61,8
Random,CPFA,14,11,63,2
Random,CPFA,14,12,65,2
Random,CPFA,15,1,6,6
Random,CPFA,15,2,10,4
Random,CPFA,15,3,17,7
Random,CPFA,15,4,22,5
Random,CPFA,15,5,26,4
Random,CPFA,15,6,31,5
Random,CPFA,15,7,37,6
Random,CPFA,15,8,49,12
Random,CPFA,15,9,56,7
Random,CPFA,15,10,66,10
Random,CPFA,15,11,69,3
Random,CPFA,15,12,76,7
Random,CPFA,16,1,8,8
Random,CPFA,16,2,15,7
Random,CPFA,16,3,19,4
Random,CPFA,16,4,25,6
Random,CPFA,16,5,26,1
Random,CPFA,16,6,34,8
Random,CPFA,16,7,38,4
Random,CPFA,16,8,42,4
Random,CPFA,16,9,46,4
Random,CPFA,16,10,54,8
Random,CPFA,16,11,58,4
Random,CPFA,16,12,68,10
Random,CPFA,17,1,5,5
Random,CPFA,17,2,11,6
Random,CPFA,17,3,17,6
Random,CPFA,17,4,21,4
Random,CPFA,17,5,26,5
Random,CPFA,17,6,31,5
Random,CPFA,17,7,35,4
Random,CPFA,17,8,41,6
Random,CPFA,17,9,52,11
Random,CPFA,17,10,61,9
Random,CPFA,17,11,66,5
Random,CPFA,17,12,73,7
Random,CPFA,18,1,10,10
Random,CPFA,18,2,16,6
Random,CPFA,18,3,21,5
Random,CPFA,18,4,33,12
Random,CPFA,18,5,44,11
Random,CPFA,18,6,50,6
Random,CPFA,18,7,57,7
Random,CPFA,18,8,63,6
Random,CPFA,18,9,71,8
Random,CPFA,18,10,77,6
Random,CPFA,18,11,89,12
Random,CPFA,18,12,102,13
Random,CPFA,19,1,8,8
Random,CPFA,19,2,16,8
Random,CPFA,19,3,23,7
Random,CPFA,19,4,35,12
Random,CPFA,19,5,38,3
Random,CPFA,19,6,44,6
Random,CPFA,19,7,49,5
Random,CPFA,19,8,61,12
Random,CPFA,19,9,69,8
Random,CPFA,19,10,76,7
Random,CPFA,19,11,86,10
Random,CPFA,19,12,92,6
Random,CPFA,20,1,8,8
Random,CPFA,20,2,15,7
Random,CPFA,20,3,22,7
Random,CPFA,20,4,31,9
Random,CPFA,20,5,34,3
Random,CPFA,20,6,39,5
Random,CPFA,20,7,41,2
Random,CPFA,20,8,44,3
Random,CPFA,20,9,51,7
Random,CPFA,20,10,54,3
Random,CPFA,20,11,61,7
Random,CPFA,20,12,69,8
Random,CPFA,21,1,6,6
Random,CPFA,21,2,11,5
Random,CPFA,21,3,17,6
Random,CPFA,21,4,27,10
Random,CPFA,21,5,35,8
Random,CPFA,21,6,41,6
Random,CPFA,21,7,45,4
Random,CPFA,21,8,48,3
Random,CPFA,21,9,53,5
Random,CPFA,21,10,62,9
Random,CPFA,21,11,69,7
Random,CPFA,21,12,77,8
Random,CPFA,22,1,11,11
Random,CPFA,22,2,19,8
Random,CPFA,22,3,25,6
Random,CPFA,22,4,33,8
Random,CPFA,22,5,37,4
Random,CPFA,22,6,39,2
Random,CPFA,22,7,44,5
Random,CPFA,22,8,50,6
Random,CPFA,22,9,54,4
Random,CPFA,22,10,56,2
Random,CPFA,22,11,60,4
Random,CPFA,22,12,66,6
Random,CPFA,23,1,7,7
Random,CPFA,23,2,12,5
Random,CPFA,23,3,17,5
Random,CPFA,23,4,22,5
Random,CPFA,23,5,27,5
Random,CPFA,23,6,33,6
Random,CPFA,23,7,41,8
Random,CPFA,23,8,45,4
Random,CPFA,23,9,49,4
Random,CPFA,23,10,56,7
Random,CPFA,23,11,63,7
Random,CPFA,23,12,67,4
Random,CPFA,24,1,10,10
Random,CPFA,24,2,19,9
Random,CPFA,24,3,30,11
Random,CPFA,24,4,38,8
Random,CPFA,24,5,44,6
Random,CPFA,24,6,49,5
Random,CPFA,24,7,54,5
Random,CPFA,24,8,59,5
Random,CPFA,24,9,66,7
Random,CPFA,24,10,71,5
Random,CPFA,24,11,80,9
Random,CPFA,24,12,88,8
Random,CPFA,25,1,7,7
Random,CPFA,25,2,13,6
Random,CPFA,25,3,19,6
Random,CPFA,25,4,23,4
Random,CPFA,25,5,27,4
Random,CPFA,25,6,32,5
Random,CPFA,25,7,35,3
Random,CPFA,25,8,38,3
Random,CPFA,25,9,42,4
Random,CPFA,25,10,47,5
Random,CPFA,25,11,52,5
Random,CPFA,25,12,58,6
Random,CPFA,26,1,6,6
Random,CPFA,26,2,11,5
Random,CPFA,26,3,20,9
Random,CPFA,26,4,26,6
Random,CPFA,26,5,34,8
Random,CPFA,26,6,40,6
Random,CPFA,26,7,44,4
Random,CPFA,26,8,56,12
Random,CPFA,26,9,67,11
Random,CPFA,26,10,74,7
Random,CPFA,26,11,80,6
Random,CPFA,26,12,92,12
Random,CPFA,27,1,6,6
Random,CPFA,27,2,10,4
Random,CPFA,27,3,12,2
Random,CPFA,27,4,19,7
Random,CPFA,27,5,24,5
Random,CPFA,27,6,28,4
Random,CPFA,27,7,31,3
Random,CPFA,27,8,34,3
Random,CPFA,27,9,37,3
Random,CPFA,27,10,40,3
Random,CPFA,27,11,45,5
Random,CPFA,27,12,50,5
Random,CPFA,28,1,9,9
Random,CPFA,28,2,13,4
Random,CPFA,28,3,20,7
Random,CPFA,28,4,24,4
Random,CPFA,28,5,27,3
Random,CPFA,28,6,34,7
Random,CPFA,28,7,42,8
Random,CPFA,28,8,49,7
Random,CPFA,28,9,54,5
Random,CPFA,28,10,60,6
Random,CPFA,28,11,68,8
Random,CPFA,28,12,74,6
Random,CPFA,29,1,8,8
Random,CPFA,29,2,14,6
Random,CPFA,29,3,23,9
Random,CPFA,29,4,31,8
Random,CPFA,29,5,34,3
Random,CPFA,29,6,40,6
Random,CPFA,29,7,49,9
Random,CPFA,29,8,52,3
Random,CPFA,29,9,58,6
Random,CPFA,29,10,62,4
Random,CPFA,29,11,68,6
Random,CPFA,29,12,75,7
Random,CPFA,30,1,8,8
Random,CPFA,30,2,17,9
Random,CPFA,30,3,21,4
Random,CPFA,30,4,27,6
Random,CPFA,30,5,33,6
Random,CPFA,30,6,41,8
Random,CPFA,30,7,47,6
Random,CPFA,30,8,48,1
Random,CPFA,30,9,51,3
Random,CPFA,30,10,59,8
Random,CPFA,30,11,61,2
Random,CPFA,30,12,68,7
Random,CPFA,31,1,7,7
Random,CPFA,31,2,12,5
Random,CPFA,31,3,18,6
Random,CPFA,31,4,20,2
Random,CPFA,31,5,24,4
Random,CPFA,31,6,27,3
Random,CPFA,31,7,31,4
Random,CPFA,31,8,35,4
Random,CPFA,31,9,39,4
Random,CPFA,31,10,44,5
Random,CPFA,31,11,49,5
Random,CPFA,31,12,53,4
Random,CPFA,32,1,9,9
Random,CPFA,32,2,16,7
Random,CPFA,32,3,20,4
Random,CPFA,32,4,24,4
Random,CPFA,32,5,28,4
Random,CPFA,32,6,34,6
Random,CPFA,32,7,38,4
Random,CPFA,32,8,43,5
Random,CPFA,32,9,48,5
Random,CPFA,32,10,53,5
Random,CPFA,32,11,56,3
Random,CPFA,32,12,62,6
Random,CPFA,33,1,5,5
Random,CPFA,33,2,10,5
Random,CPFA,33,3,14,4
Random,CPFA,33,4,22,8
Random,CPFA,33,5,29,7
Random,CPFA,33,6,34,5
Random,CPFA,33,7,39,5
Random,CPFA,33,8,43,4
Random,CPFA,33,9,49,6
Random,CPFA,33,10,55,6
Random,CPFA,33,11,63,8
Random,CPFA,33,12,71,8
Random,CPFA,34,1,8,8
Random,CPFA,34,2,16,8
Random,CPFA,34,3,22,6
Random,CPFA,34,4,24,2
Random,CPFA,34,5,31,7
Random,CPFA,34,6,34,3
Random,CPFA,34,7,37,3
Random,CPFA,34,8,41,4
Random,CPFA,34,9,44,3
Random,CPFA,34,10,50,6
Random,CPFA,34,11,54,4
Random,CPFA,34,12,60,6
Random,CPFA,35,1,6,6
Random,CPFA,35,2,10,4
Random,CPFA,35,3,17,7
Random,CPFA,35,4,20,3
Random,CPFA,35,5,26,6
Random,CPFA,35,6,29,3
Random,CPFA,35,7,35,6
Random,CPFA,35,8,37,2
