algorithm,distribution,seed,grid_size,row,col,x_min,x_max,y_min,y_max,visits
CPFA,Random,1,12,0,0,-4.915,-4.09583,4.09583,4.915,0
CPFA,Random,1,12,0,1,-4.09583,-3.27667,4.09583,4.915,0
CPFA,Random,1,12,0,2,-3.27667,-2.4575,4.09583,4.915,0
CPFA,Random,1,12,0,3,-2.4575,-1.63833,4.09583,4.915,0
CPFA,Random,1,12,0,4,-1.63833,-0.819167,4.09583,4.915,13
CPFA,Random,1,12,0,5,-0.819167,-1.11022e-16,4.09583,4.915,0
CPFA,Random,1,12,0,6,0,0.819167,4.09583,4.915,0
CPFA,Random,1,12,0,7,0.819167,1.63833,4.09583,4.915,22
CPFA,Random,1,12,0,8,1.63833,2.4575,4.09583,4.915,24
CPFA,Random,1,12,0,9,2.4575,3.27667,4.09583,4.915,10
CPFA,Random,1,12,0,10,3.27667,4.09583,4.09583,4.915,0
CPFA,Random,1,12,0,11,4.09583,4.915,4.09583,4.915,0
CPFA,Random,1,12,1,0,-4.915,-4.09583,3.27667,4.09583,0
CPFA,Random,1,12,1,1,-4.09583,-3.27667,3.27667,4.09583,0
CPFA,Random,1,12,1,2,-3.27667,-2.4575,3.27667,4.09583,0
CPFA,Random,1,12,1,3,-2.4575,-1.63833,3.27667,4.09583,0
CPFA,Random,1,12,1,4,-1.63833,-0.819167,3.27667,4.09583,24
CPFA,Random,1,12,1,5,-0.819167,-1.11022e-16,3.27667,4.09583,0
CPFA,Random,1,12,1,6,0,0.819167,3.27667,4.09583,3
CPFA,Random,1,12,1,7,0.819167,1.63833,3.27667,4.09583,23
CPFA,Random,1,12,1,8,1.63833,2.4575,3.27667,4.09583,12
CPFA,Random,1,12,1,9,2.4575,3.27667,3.27667,4.09583,7
CPFA,Random,1,12,1,10,3.27667,4.09583,3.27667,4.09583,0
CPFA,Random,1,12,1,11,4.09583,4.915,3.27667,4.09583,0
CPFA,Random,1,12,2,0,-4.915,-4.09583,2.4575,3.27667,0
CPFA,Random,1,12,2,1,-4.09583,-3.27667,2.4575,3.27667,0
CPFA,Random,1,12,2,2,-3.27667,-2.4575,2.4575,3.27667,0
CPFA,Random,1,12,2,3,-2.4575,-1.63833,2.4575,3.27667,0
CPFA,Random,1,12,2,4,-1.63833,-0.819167,2.4575,3.27667,22
CPFA,Random,1,12,2,5,-0.819167,-1.11022e-16,2.4575,3.27667,2
CPFA,Random,1,12,2,6,0,0.819167,2.4575,3.27667,50
CPFA,Random,1,12,2,7,0.819167,1.63833,2.4575,3.27667,23
CPFA,Random,1,12,2,8,1.63833,2.4575,2.4575,3.27667,29
CPFA,Random,1,12,2,9,2.4575,3.27667,2.4575,3.27667,12
CPFA,Random,1,12,2,10,3.27667,4.09583,2.4575,3.27667,0
CPFA,Random,1,12,2,11,4.09583,4.915,2.4575,3.27667,0
CPFA,Random,1,12,3,0,-4.915,-4.09583,1.63833,2.4575,0
CPFA,Random,1,12,3,1,-4.09583,-3.27667,1.63833,2.4575,0
CPFA,Random,1,12,3,2,-3.27667,-2.4575,1.63833,2.4575,0
CPFA,Random,1,12,3,3,-2.4575,-1.63833,1.63833,2.4575,0
CPFA,Random,1,12,3,4,-1.63833,-0.819167,1.63833,2.4575,27
CPFA,Random,1,12,3,5,-0.819167,-1.11022e-16,1.63833,2.4575,33
CPFA,Random,1,12,3,6,0,0.819167,1.63833,2.4575,43
CPFA,Random,1,12,3,7,0.819167,1.63833,1.63833,2.4575,47
CPFA,Random,1,12,3,8,1.63833,2.4575,1.63833,2.4575,61
CPFA,Random,1,12,3,9,2.4575,3.27667,1.63833,2.4575,14
CPFA,Random,1,12,3,10,3.27667,4.09583,1.63833,2.4575,29
CPFA,Random,1,12,3,11,4.09583,4.915,1.63833,2.4575,0
CPFA,Random,1,12,4,0,-4.915,-4.09583,0.819167,1.63833,18
CPFA,Random,1,12,4,1,-4.09583,-3.27667,0.819167,1.63833,16
CPFA,Random,1,12,4,2,-3.27667,-2.4575,0.819167,1.63833,9
CPFA,Random,1,12,4,3,-2.4575,-1.63833,0.819167,1.63833,26
CPFA,Random,1,12,4,4,-1.63833,-0.819167,0.819167,1.63833,75
CPFA,Random,1,12,4,5,-0.819167,-1.11022e-16,0.819167,1.63833,263
CPFA,Random,1,12,4,6,0,0.819167,0.819167,1.63833,327
CPFA,Random,1,12,4,7,0.819167,1.63833,0.819167,1.63833,144
CPFA,Random,1,12,4,8,1.63833,2.4575,0.819167,1.63833,36
CPFA,Random,1,12,4,9,2.4575,3.27667,0.819167,1.63833,12
CPFA,Random,1,12,4,10,3.27667,4.09583,0.819167,1.63833,2
CPFA,Random,1,12,4,11,4.09583,4.915,0.819167,1.63833,0
CPFA,Random,1,12,5,0,-4.915,-4.09583,0,0.819167,33
CPFA,Random,1,12,5,1,-4.09583,-3.27667,0,0.819167,14
CPFA,Random,1,12,5,2,-3.27667,-2.4575,0,0.819167,45
CPFA,Random,1,12,5,3,-2.4575,-1.63833,0,0.819167,50
CPFA,Random,1,12,5,4,-1.63833,-0.819167,0,0.819167,264
CPFA,Random,1,12,5,5,-0.819167,-1.11022e-16,0,0.819167,3244
CPFA,Random,1,12,5,6,0,0.819167,0,0.819167,2991
CPFA,Random,1,12,5,7,0.819167,1.63833,0,0.819167,276
CPFA,Random,1,12,5,8,1.63833,2.4575,0,0.819167,66
CPFA,Random,1,12,5,9,2.4575,3.27667,0,0.819167,44
CPFA,Random,1,12,5,10,3.27667,4.09583,0,0.819167,30
CPFA,Random,1,12,5,11,4.09583,4.915,0,0.819167,22
CPFA,Random,1,12,6,0,-4.915,-4.09583,-0.819167,-1.11022e-16,0
CPFA,Random,1,12,6,1,-4.09583,-3.27667,-0.819167,-1.11022e-16,21
CPFA,Random,1,12,6,2,-3.27667,-2.4575,-0.819167,-1.11022e-16,39
CPFA,Random,1,12,6,3,-2.4575,-1.63833,-0.819167,-1.11022e-16,76
CPFA,Random,1,12,6,4,-1.63833,-0.819167,-0.819167,-1.11022e-16,311
CPFA,Random,1,12,6,5,-0.819167,-1.11022e-16,-0.819167,-1.11022e-16,3192
CPFA,Random,1,12,6,6,0,0.819167,-0.819167,-1.11022e-16,2922
CPFA,Random,1,12,6,7,0.819167,1.63833,-0.819167,-1.11022e-16,169
CPFA,Random,1,12,6,8,1.63833,2.4575,-0.819167,-1.11022e-16,52
CPFA,Random,1,12,6,9,2.4575,3.27667,-0.819167,-1.11022e-16,25
CPFA,Random,1,12,6,10,3.27667,4.09583,-0.819167,-1.11022e-16,6
CPFA,Random,1,12,6,11,4.09583,4.915,-0.819167,-1.11022e-16,6
