tags_collected, collisions_in_seconds, time_in_minutes, random_seed
157, 432.922, 12, 1
136, 354.938, 12, 2
142, 355.25, 12, 3
155, 403.125, 12, 4
151, 394.828, 12, 5
156, 452.016, 12, 6
152, 417.172, 12, 7
152, 393.484, 12, 8
137, 405.031, 12, 9
150, 382.25, 12, 10
144, 390, 12, 11
163, 464.141, 12, 12
139, 379.391, 12, 13
150, 397.234, 12, 14
150, 437.078, 12, 15
151, 435.141, 12, 16
148, 403.812, 12, 17
138, 388.594, 12, 18
151, 400.828, 12, 19
157, 429.594, 12, 20
147, 369.25, 12, 21
163, 418.734, 12, 22
147, 369.484, 12, 23
147, 457.281, 12, 24
102, 1788.89, 12, 25
173, 496.078, 12, 26
154, 460.812, 12, 27
71, 2855.44, 12, 28
106, 1841.75, 12, 29
112, 1460.39, 12, 30
156, 396.984, 12, 31
144, 356.5, 12, 32
153, 442.719, 12, 33
140, 413.688, 12, 34
145, 384.094, 12, 35
139, 404.906, 12, 36
68, 2356.91, 12, 37
153, 365.688, 12, 38
154, 363.641, 12, 39
146, 381.703, 12, 40
146, 407.359, 12, 41
124, 1156.52, 12, 42
164, 335.172, 12, 43
144, 369.016, 12, 44
150, 423.406, 12, 45
180, 411.922, 12, 46
153, 438.188, 12, 47
149, 395.859, 12, 48
151, 418.062, 12, 49
149, 386.422, 12, 50
157, 432.922, 12, 1
136, 354.938, 12, 2
142, 355.25, 12, 3
155, 403.125, 12, 4
151, 394.828, 12, 5
156, 452.016, 12, 6
152, 417.172, 12, 7
152, 393.484, 12, 8
137, 405.031, 12, 9
150, 382.25, 12, 10
144, 390, 12, 11
163, 464.141, 12, 12
139, 379.391, 12, 13
150, 397.234, 12, 14
150, 437.078, 12, 15
151, 435.141, 12, 16
148, 403.812, 12, 17
138, 388.594, 12, 18
151, 400.828, 12, 19
157, 429.594, 12, 20
147, 369.25, 12, 21
163, 418.734, 12, 22
147, 369.484, 12, 23
147, 457.281, 12, 24
102, 1788.89, 12, 25
173, 496.078, 12, 26
154, 460.812, 12, 27
71, 2855.44, 12, 28
106, 1841.75, 12, 29
112, 1460.39, 12, 30
156, 396.984, 12, 31
144, 356.5, 12, 32
153, 442.719, 12, 33
140, 413.688, 12, 34
145, 384.094, 12, 35
139, 404.906, 12, 36
68, 2356.91, 12, 37
153, 365.688, 12, 38
154, 363.641, 12, 39
146, 381.703, 12, 40
146, 407.359, 12, 41
124, 1156.52, 12, 42
164, 335.172, 12, 43
144, 369.016, 12, 44
150, 423.406, 12, 45
180, 411.922, 12, 46
153, 438.188, 12, 47
149, 395.859, 12, 48
151, 418.062, 12, 49
149, 386.422, 12, 50
154, 390.516, 12, 385814
153, 454.391, 12, 1
150, 530.438, 12, 2
145, 520.594, 12, 3
159, 578.844, 12, 4
142, 481.922, 12, 5
150, 523.141, 12, 6
149, 580.531, 12, 7
149, 621.844, 12, 8
140, 436.109, 12, 9
135, 503.109, 12, 10
146, 497.703, 12, 11
156, 568.172, 12, 12
96, 1940.91, 12, 13
120, 1138.56, 12, 14
144, 482.266, 12, 15
148, 645.156, 12, 16
145, 587.203, 12, 17
144, 424.328, 12, 18
144, 497.188, 12, 19
146, 585.578, 12, 20
146, 576.094, 12, 21
67, 2761.17, 12, 22
135, 433.078, 12, 23
159, 544.172, 12, 24
157, 580.734, 12, 25
126, 1586.84, 12, 26
156, 527.641, 12, 27
87, 2221.09, 12, 28
84, 2334.34, 12, 29
145, 530.062, 12, 30
151, 466.719, 12, 31
144, 483.016, 12, 32
142, 555.906, 12, 33
145, 483.672, 12, 34
139, 480.656, 12, 35
128, 491.375, 12, 36
145, 544.938, 12, 37
141, 440.578, 12, 38
143, 536.531, 12, 39
140, 476.219, 12, 40
137, 421.391, 12, 41
147, 504, 12, 42
150, 507.578, 12, 43
137, 481.734, 12, 44
138, 540.766, 12, 45
171, 545.953, 12, 46
95, 2230.02, 12, 47
131, 504.531, 12, 48
151, 511, 12, 49
136, 630.984, 12, 50
139, 410.406, 12, 798130
151, 500.391, 12, 1
147, 470.422, 12, 2
138, 470.109, 12, 3
149, 558.922, 12, 4
146, 475.234, 12, 5
145, 888.719, 12, 6
146, 480.906, 12, 7
160, 538.578, 12, 8
135, 459.203, 12, 9
135, 564.953, 12, 10
144, 498.359, 12, 11
150, 607.719, 12, 12
167, 535.297, 12, 13
140, 526.922, 12, 14
145, 512.641, 12, 15
156, 651.125, 12, 16
143, 586.188, 12, 17
132, 411.844, 12, 18
147, 472, 12, 19
155, 596.719, 12, 20
144, 519.016, 12, 21
53, 2985.25, 12, 22
141, 451.156, 12, 23
162, 506.703, 12, 24
146, 553.516, 12, 25
159, 621.406, 12, 26
157, 509.859, 12, 27
65, 2975.17, 12, 28
138, 502.922, 12, 29
145, 501.156, 12, 30
138, 520.625, 12, 31
138, 523.188, 12, 32
148, 521.156, 12, 33
137, 551.094, 12, 34
95, 1937.27, 12, 35
129, 489.328, 12, 36
149, 502.531, 12, 37
145, 458.656, 12, 38
151, 475.641, 12, 39
146, 488.266, 12, 40
137, 472.453, 12, 41
138, 384.062, 12, 42
134, 597.453, 12, 43
141, 451.438, 12, 44
95, 1916.19, 12, 45
155, 568.328, 12, 46
164, 540.297, 12, 47
136, 515.703, 12, 48
144, 464, 12, 49
147, 544.453, 12, 50
155, 476.031, 12, 903920
153, 501.656, 12, 1
154, 510.969, 12, 2
137, 448.234, 12, 3
153, 522.703, 12, 4
147, 505.656, 12, 5
143, 502.469, 12, 6
113, 1455.44, 12, 7
151, 597.875, 12, 8
137, 532.859, 12, 9
147, 538.406, 12, 10
142, 457.719, 12, 11
149, 694.359, 12, 12
167, 501.812, 12, 13
138, 531.312, 12, 14
140, 536.953, 12, 15
153, 629.109, 12, 16
141, 500.453, 12, 17
134, 431.125, 12, 18
147, 450.469, 12, 19
154, 514.812, 12, 20
80, 2281.5, 12, 21
51, 2977.64, 12, 22
133, 435.344, 12, 23
162, 595.891, 12, 24
152, 575.375, 12, 25
161, 588.797, 12, 26
117, 1785.42, 12, 27
73, 2701.08, 12, 28
145, 472.984, 12, 29
139, 419.359, 12, 30
143, 440.688, 12, 31
141, 464.359, 12, 32
152, 495.422, 12, 33
132, 479.094, 12, 34
129, 457.344, 12, 35
132, 520.156, 12, 36
151, 569.797, 12, 37
136, 427.344, 12, 38
143, 398.953, 12, 39
