tags_collected, collisions_in_seconds, time_in_minutes, random_seed
90, 2108.34, 12, 1
95, 1920.89, 12, 2
90, 1740.98, 12, 3
74, 2475.44, 12, 4
81, 2415.62, 12, 5
93, 1851.27, 12, 6
63, 2304.75, 12, 7
54, 2813.11, 12, 8
97, 1485.14, 12, 9
93, 1712.97, 12, 10
96, 1625.83, 12, 11
92, 2048.69, 12, 12
77, 2305.27, 12, 13
57, 2675.95, 12, 14
90, 1805.84, 12, 15
58, 2812.92, 12, 16
96, 1907.42, 12, 17
123, 705.672, 12, 18
71, 2336.31, 12, 19
102, 1737.95, 12, 20
69, 2502.38, 12, 21
71, 2420.81, 12, 22
114, 1062.83, 12, 23
55, 2601.31, 12, 24
67, 2553.61, 12, 25
60, 2673, 12, 26
99, 1809.84, 12, 27
101, 2178.52, 12, 28
68, 2446.94, 12, 29
94, 1863.94, 12, 30
66, 2202.09, 12, 31
82, 1919.48, 12, 32
63, 2513.27, 12, 33
69, 2445.19, 12, 34
76, 2058.78, 12, 35
77, 2023.86, 12, 36
62, 2515.72, 12, 37
107, 1148.62, 12, 38
97, 1767.19, 12, 39
107, 1405.02, 12, 40
95, 1714.77, 12, 41
88, 1815.02, 12, 42
93, 1879.67, 12, 43
60, 2551.38, 12, 44
53, 2686.11, 12, 45
82, 2314.02, 12, 46
74, 2299.72, 12, 47
79, 1967.66, 12, 48
56, 2714.02, 12, 49
87, 1997.38, 12, 50
