tags_collected, collisions_in_seconds, time_in_minutes, random_seed
193, 473.266, 12, 1
186, 507.766, 12, 2
198, 507.859, 12, 3
195, 502.219, 12, 4
194, 483.359, 12, 5
185, 440.141, 12, 6
195, 496.969, 12, 7
191, 488.375, 12, 8
199, 507.328, 12, 9
205, 474.719, 12, 10
197, 470.109, 12, 11
197, 500.859, 12, 12
201, 527.016, 12, 13
192, 462.312, 12, 14
183, 503.953, 12, 15
198, 473.312, 12, 16
185, 510.328, 12, 17
200, 505.734, 12, 18
189, 499.547, 12, 19
193, 538.547, 12, 20
195, 464.266, 12, 21
196, 481.797, 12, 22
188, 490.625, 12, 23
193, 471.734, 12, 24
195, 491.875, 12, 25
191, 549.047, 12, 26
191, 532.359, 12, 27
185, 554.422, 12, 28
194, 451.656, 12, 29
198, 490.156, 12, 30
197, 499, 12, 31
191, 492.375, 12, 32
195, 494.781, 12, 33
188, 452.375, 12, 34
201, 510.969, 12, 35
195, 507.938, 12, 36
199, 458.828, 12, 37
196, 492.547, 12, 38
184, 481.578, 12, 39
191, 492.828, 12, 40
195, 478.391, 12, 41
188, 493.984, 12, 42
203, 493.734, 12, 43
196, 506.531, 12, 44
187, 521.359, 12, 45
198, 475.016, 12, 46
199, 551.734, 12, 47
197, 498.312, 12, 48
194, 521.266, 12, 49
194, 447.5, 12, 50
193, 473.266, 12, 1
186, 507.766, 12, 2
198, 507.859, 12, 3
195, 502.219, 12, 4
194, 483.359, 12, 5
185, 440.141, 12, 6
195, 496.969, 12, 7
191, 488.375, 12, 8
199, 507.328, 12, 9
205, 474.719, 12, 10
197, 470.109, 12, 11
197, 500.859, 12, 12
201, 527.016, 12, 13
192, 462.312, 12, 14
183, 503.953, 12, 15
198, 473.312, 12, 16
185, 510.328, 12, 17
200, 505.734, 12, 18
189, 499.547, 12, 19
193, 538.547, 12, 20
195, 464.266, 12, 21
196, 481.797, 12, 22
188, 490.625, 12, 23
193, 471.734, 12, 24
195, 491.875, 12, 25
191, 549.047, 12, 26
191, 532.359, 12, 27
185, 554.422, 12, 28
194, 451.656, 12, 29
198, 490.156, 12, 30
197, 499, 12, 31
191, 492.375, 12, 32
195, 494.781, 12, 33
188, 452.375, 12, 34
201, 510.969, 12, 35
195, 507.938, 12, 36
199, 458.828, 12, 37
196, 492.547, 12, 38
184, 481.578, 12, 39
191, 492.828, 12, 40
195, 478.391, 12, 41
188, 493.984, 12, 42
203, 493.734, 12, 43
196, 506.531, 12, 44
187, 521.359, 12, 45
198, 475.016, 12, 46
199, 551.734, 12, 47
197, 498.312, 12, 48
194, 521.266, 12, 49
194, 447.5, 12, 50
191, 494.906, 12, 203167
185, 654.906, 12, 1
174, 924.938, 12, 2
177, 839.688, 12, 3
187, 727.547, 12, 4
184, 683.203, 12, 5
179, 661.188, 12, 6
178, 749.672, 12, 7
184, 749.344, 12, 8
188, 850.812, 12, 9
172, 869.453, 12, 10
174, 953.281, 12, 11
181, 819.328, 12, 12
185, 772.469, 12, 13
178, 699.453, 12, 14
177, 737.484, 12, 15
183, 711.703, 12, 16
186, 741.766, 12, 17
173, 773.359, 12, 18
177, 789.969, 12, 19
185, 792.969, 12, 20
173, 705.844, 12, 21
184, 885, 12, 22
184, 777.172, 12, 23
187, 693.938, 12, 24
181, 886.844, 12, 25
178, 898.391, 12, 26
180, 792.047, 12, 27
177, 908.188, 12, 28
175, 812.172, 12, 29
177, 836.406, 12, 30
179, 703.938, 12, 31
184, 685.484, 12, 32
178, 771.844, 12, 33
171, 799.125, 12, 34
181, 814.109, 12, 35
178, 862.703, 12, 36
176, 786.594, 12, 37
185, 715.75, 12, 38
183, 786.188, 12, 39
172, 794.609, 12, 40
187, 737.078, 12, 41
181, 830.766, 12, 42
178, 831.484, 12, 43
183, 764.484, 12, 44
186, 760.688, 12, 45
181, 793.641, 12, 46
190, 684.172, 12, 47
188, 819.172, 12, 48
183, 731.469, 12, 49
176, 824.75, 12, 50
189, 723.328, 12, 1
186, 797.453, 12, 2
174, 696.859, 12, 3
187, 733.812, 12, 4
171, 919.25, 12, 5
173, 729.312, 12, 6
183, 730.234, 12, 7
183, 805.969, 12, 8
179, 1004.23, 12, 9
183, 788.891, 12, 10
183, 773.719, 12, 11
178, 682.781, 12, 12
182, 852.109, 12, 13
170, 676.516, 12, 14
181, 868.516, 12, 15
187, 790.562, 12, 16
179, 754.188, 12, 17
187, 749.609, 12, 18
183, 641.469, 12, 19
187, 750.938, 12, 20
178, 699.016, 12, 21
188, 849.156, 12, 22
182, 735.469, 12, 23
184, 739.188, 12, 24
180, 924.734, 12, 25
181, 803.766, 12, 26
177, 901.188, 12, 27
184, 790.812, 12, 28
172, 856.5, 12, 29
182, 877.953, 12, 30
176, 772.719, 12, 31
182, 710, 12, 32
190, 720.703, 12, 33
192, 664.938, 12, 34
185, 764.562, 12, 35
186, 692.609, 12, 36
179, 742.5, 12, 37
185, 799.438, 12, 38
177, 892.562, 12, 39
179, 703.188, 12, 40
182, 955.828, 12, 41
172, 779.75, 12, 42
188, 800.203, 12, 43
171, 971.156, 12, 44
183, 836.688, 12, 45
184, 782.203, 12, 46
186, 755.266, 12, 47
185, 673.891, 12, 48
187, 699.938, 12, 49
175, 868.078, 12, 50
174, 787.953, 12, 1
184, 911.875, 12, 2
175, 706.031, 12, 3
185, 698.484, 12, 4
189, 657.828, 12, 5
175, 662.141, 12, 6
182, 664.406, 12, 7
178, 845, 12, 8
178, 956.938, 12, 9
179, 840.375, 12, 10
184, 828.406, 12, 11
193, 660.75, 12, 12
187, 805.797, 12, 13
172, 802.938, 12, 14
174, 978.312, 12, 15
