tags_collected, collisions_in_seconds, time_in_minutes, random_seed
190, 552.156, 12, 131982
200, 493.719, 12, 43221
195, 511.031, 12, 131263
199, 457.906, 12, 1
197, 461.953, 12, 2
184, 505.75, 12, 3
198, 494.906, 12, 4
199, 485.828, 12, 5
187, 464.125, 12, 6
194, 516.953, 12, 7
198, 454.141, 12, 8
188, 504.953, 12, 9
198, 558.531, 12, 10
199, 484.922, 12, 11
192, 492.734, 12, 12
202, 494.578, 12, 13
192, 455.828, 12, 14
189, 491.812, 12, 15
194, 450.688, 12, 16
196, 485.109, 12, 17
197, 526.266, 12, 18
193, 543.594, 12, 19
188, 477.656, 12, 20
188, 512.047, 12, 21
193, 523.688, 12, 22
192, 460.453, 12, 23
187, 538.938, 12, 24
193, 528.969, 12, 25
197, 606.938, 12, 26
194, 537.031, 12, 27
188, 522.422, 12, 28
191, 499.797, 12, 29
201, 541.016, 12, 30
190, 519.969, 12, 31
191, 481.281, 12, 32
189, 534.828, 12, 33
191, 393.016, 12, 34
200, 562.219, 12, 35
197, 485.047, 12, 36
192, 473.359, 12, 37
181, 443.672, 12, 38
196, 476.672, 12, 39
186, 537.703, 12, 40
203, 452.203, 12, 41
193, 475.375, 12, 42
191, 550.812, 12, 43
200, 505.141, 12, 44
192, 505.203, 12, 45
195, 485.297, 12, 46
193, 544.547, 12, 47
199, 538.781, 12, 48
190, 467.469, 12, 49
198, 516.609, 12, 50
